,compound,neg,neu,pos,source,time,tweet
32,0.8834,0.0,0.608,0.392,CNN,2020-05-18 12:45:01+00:00,"NASCAR's comeback race honored health care workers as part of The Real Heroes Project, a collaborative initiative a… https://t.co/XMvuY0QALJ"
33,0.0,0.0,1.0,0.0,CNN,2020-05-18 12:30:06+00:00,"Chinese President Xi Jinping spoke at the opening ceremony of the World Health Assembly, making the case for the co… https://t.co/pVKDEBFgPe"
34,0.3612,0.0,0.894,0.106,CNN,2020-05-18 12:15:07+00:00,"We will meet again, just like the Queen said. New episodes of #TheWindsorsCNN return Sunday, June 14th at 9 p.m. ET https://t.co/fs8m6eY1Pi"
35,-0.5574,0.175,0.825,0.0,CNN,2020-05-18 12:00:07+00:00,The State Department inspector general who President Trump fired last week was investigating whether Secretary of S… https://t.co/6g31UjfrmU
36,0.0,0.0,1.0,0.0,CNN,2020-05-18 11:45:05+00:00,"Here's everything you need to know about the coronavirus pandemic today: https://t.co/FCRrBCvIEF

📩 Sign up to get… https://t.co/WTVZ2GGwDI"
37,0.0772,0.0,0.939,0.061,CNN,2020-05-18 11:31:37+00:00,Trump has removed the inspectors general with the reason that it's within his authority as President and that he la… https://t.co/pOBx0KDqJz
38,0.0,0.0,1.0,0.0,CNN,2020-05-18 11:15:05+00:00,"Around 10,000 small boats, sailed by families, couples and individuals, ply the oceans each year. But in 2020, some… https://t.co/yI42Com9cY"
39,0.0,0.0,1.0,0.0,CNN,2020-05-18 11:00:07+00:00,It's International Museum Day! Here is a running list of some of the museums that have reopened — or have announced… https://t.co/ESXO6KWWhi
40,0.0,0.0,1.0,0.0,CNN,2020-05-18 10:45:04+00:00,"The coronavirus pandemic has drastically changed kids' lives, and their behavior is showing it. There are ways for… https://t.co/ElGZ6L51ZI"
41,0.34,0.0,0.902,0.098,CNN,2020-05-18 10:34:20+00:00,"Snoop Dogg shared a video of him listening to ""Let It Go"" from Disney's ""Frozen"" as he tried to decompress amid the… https://t.co/UNbukoW6sh"
42,0.1027,0.0,0.924,0.076,CNN,2020-05-18 10:15:05+00:00,A Canadian Forces Snowbirds demonstration -- part of a weeks-long operation aimed at uplifting Canadians' spirits a… https://t.co/SwTxYaAy5o
43,0.5719,0.125,0.66,0.215,CNN,2020-05-18 10:01:04+00:00,"""Please we'll do whatever it takes to bring you back. We love you. We miss you. Your girls need you. No questions a… https://t.co/5x7Isb1RcK"
44,-0.128,0.149,0.679,0.172,CNN,2020-05-18 09:45:03+00:00,Sailors aboard the coronavirus stricken aircraft carrier USS Theodore Roosevelt are preparing to return to active o… https://t.co/tJ3Elx0SGg
45,-0.5574,0.159,0.841,0.0,CNN,2020-05-18 09:32:03+00:00,Police have interviewed a 57-year-old man in connection with an incident in which a rail worker died from coronavir… https://t.co/zRqTGdhBRN
46,0.7165,0.0,0.682,0.318,CNN,2020-05-18 09:18:37+00:00,"""I want people to know she was a very humble, sweet, and giving person,"" says her daughter https://t.co/GfSBfiuYRV"
47,0.0,0.0,1.0,0.0,CNN,2020-05-18 09:01:05+00:00,"As of Sunday, 5,457 members of the New York Police Department have returned to work full time after recovering from… https://t.co/A8yeuvK568"
48,0.807,0.0,0.685,0.315,CNN,2020-05-18 08:45:02+00:00,"An 8-year-old therapy dog named Moose is officially a very good boy, after he was awarded an honorary doctorate in… https://t.co/QHy3WEEdNZ"
49,0.2498,0.0,0.917,0.083,CNN,2020-05-18 08:31:05+00:00,"Many zoos and animal parks around the world may be closed to visitors, but that hasn't stopped the circle of life f… https://t.co/goHwWprbcs"
50,0.0,0.0,1.0,0.0,CNN,2020-05-18 08:15:06+00:00,Health and Human Services Secretary Alex Azar on Sunday suggested that the underlying health conditions of American… https://t.co/WBf0734Kgx
51,0.34,0.0,0.897,0.103,CNN,2020-05-18 08:01:03+00:00,A viral video of a black light experiment aims to show how easily germs and viruses can spread in environments like… https://t.co/CvfUo1ZLa9
52,0.0,0.0,1.0,0.0,CNN,2020-05-18 07:45:07+00:00,"""Former President Barack Obama delivered two online commencement addresses on Saturday that did more than offer wor… https://t.co/IprV4Nft3h"
53,0.0,0.0,1.0,0.0,CNN,2020-05-18 07:37:06+00:00,"Tropical Storm Arthur, the first named storm in the Atlantic for 2020, will bring high surf, heavy rains and strong… https://t.co/yKyeA6qsPD"
54,0.0,0.0,1.0,0.0,CNN,2020-05-18 07:31:08+00:00,A spectacular controlled explosion has demolished the two cooling towers of a shut-down nuclear power plant in sout… https://t.co/raYWtlv0l9
55,0.4215,0.0,0.865,0.135,CNN,2020-05-18 07:22:04+00:00,"About 35,000 coronavirus tests in the United States have been deemed unreliable because a processing lab “has been… https://t.co/L9LLyw5SUz"
56,0.6249,0.0,0.758,0.242,CNN,2020-05-18 07:15:05+00:00,An Alaska state lawmaker apologized Sunday for comments he recently made likening new health safety measures being… https://t.co/ZoD3hH4JjR
57,0.3182,0.0,0.874,0.126,CNN,2020-05-18 07:01:03+00:00,"The novel coronavirus can infect organs throughout the body, including lungs, throat, heart, liver, brain, kidneys… https://t.co/si0vwyfpEl"
58,0.0258,0.0,0.948,0.052,CNN,2020-05-18 06:45:05+00:00,Secretary of State Mike Pompeo appears to be backing away from a theory he and President Donald Trump were pushing… https://t.co/vMandEp9gl
59,0.0,0.0,1.0,0.0,CNN,2020-05-18 06:31:08+00:00,"Georgia Institute of Technology researchers have built and tested the ""Mini Rover,"" a scaled-down 3D-printed model… https://t.co/1LXsWZKSzv"
60,0.0,0.0,1.0,0.0,CNN,2020-05-18 06:15:03+00:00,Ford announced on Saturday it will provide Covid-19 testing in four metro areas for hourly and salaried employees w… https://t.co/OhQBkT1hw3
61,0.4215,0.0,0.865,0.135,CNN,2020-05-18 06:07:03+00:00,"At least 18,873 new coronavirus cases and 808 Covid-19-related deaths were recorded in the United States on Sunday,… https://t.co/Ursj2fvZke"
62,-0.296,0.099,0.901,0.0,CNN,2020-05-18 06:01:04+00:00,A pregnant woman traveling through India by foot interrupted her journey to give birth and then kept walking for an… https://t.co/SyAtBdB1ol
63,0.0,0.0,1.0,0.0,CNN,2020-05-18 05:45:04+00:00,A high-profile New York law firm targeted by hackers said it has never worked with President Donald Trump after the… https://t.co/5Em0u5deRx
64,0.5106,0.0,0.845,0.155,CNN,2020-05-18 05:31:08+00:00,"Watch this robot patrol a park to encourage social distancing. Spot, a four-legged ""dog"" designed by Boston Dynamic… https://t.co/z4IBsCPWW0"
65,0.0,0.0,1.0,0.0,CNN,2020-05-18 05:15:08+00:00,New York Gov. Andrew Cuomo took a test for Covid-19 at a press conference on Sunday in an attempt to demonstrate th… https://t.co/MXVR23bknT
66,0.0,0.0,1.0,0.0,CNN,2020-05-18 05:01:04+00:00,"Doctors say parents, hospitals and clinics should expect to see more cases of a mystifying condition, called multis… https://t.co/hG0ZnMCoIK"
67,0.5719,0.0,0.856,0.144,CNN,2020-05-18 04:45:08+00:00,An iron worker in North Carolina bought a scratch-off lottery ticket on the way home from work -- and won $10 milli… https://t.co/0pDlY5f8XP
68,0.25,0.0,0.923,0.077,CNN,2020-05-18 04:31:11+00:00,"""A chance for younger fans to get to know him and... for those who lived it to be reminded of the legend."" 

How 'T… https://t.co/ZdPGbBh62j"
69,0.2023,0.0,0.909,0.091,CNN,2020-05-18 04:23:31+00:00,Two of President Donald Trump's top officials are now pointing the finger at the administration's own scientists an… https://t.co/vUsMmcFm9n
70,0.0,0.0,1.0,0.0,CNN,2020-05-18 04:15:04+00:00,"Nearly 15% of American households do not have a home internet subscription, including dial-up, broadband or a cellu… https://t.co/3NkEA0utFU"
71,-0.5709,0.15,0.85,0.0,CNN,2020-05-18 04:01:05+00:00,Georgia officials are working to eradicate a lizard they say poses a major threat to some of the state's native wil… https://t.co/hRdyIKyhX7
72,0.0,0.0,1.0,0.0,CNN,2020-05-18 03:45:05+00:00,"The gates of Graceland, Elvis Presley's famed home and estate, will reopen with reduced capacity on Thursday, two m… https://t.co/6h097yq2kw"
73,-0.4019,0.114,0.886,0.0,CNN,2020-05-18 03:31:05+00:00,California Gov. Gavin Newsom on Sunday said the nearly $54 billion budget deficit the state is facing is a direct r… https://t.co/CZCiTAFzVZ
74,0.0,0.0,1.0,0.0,CNN,2020-05-18 03:15:05+00:00,A new Marquette Law School poll finds former Vice President Joe Biden with a 46% to 43% lead over President Donald… https://t.co/DNDr8TeFKD
75,-0.7845,0.266,0.734,0.0,CNN,2020-05-18 03:01:02+00:00,"The Asian giant hornet is thought to kill 50 people a year worldwide, mostly due to allergic reactions or multiple… https://t.co/SunOOLucyt"
76,0.4215,0.0,0.797,0.203,CNN,2020-05-18 02:31:06+00:00,The United States Space Force has unveiled its official flag https://t.co/WX7RiNHPl8 https://t.co/hFr8mCrrR1
77,0.0,0.0,1.0,0.0,CNN,2020-05-18 02:15:07+00:00,"Georgia Institute of Technology researchers have built and tested the ""Mini Rover,"" a scaled-down 3D-printed model… https://t.co/39nqmf9XyI"
78,0.4939,0.049,0.813,0.138,CNN,2020-05-18 02:01:07+00:00,"A new study — the largest of its kind — shows that hydroxychloroquine, the drug touted by President Trump, does not… https://t.co/uAtQK73u0l"
79,0.3182,0.0,0.874,0.126,CNN,2020-05-18 01:45:06+00:00,"The novel coronavirus can infect organs throughout the body, including lungs, throat, heart, liver, brain, kidneys… https://t.co/4fog6c8Cb5"
80,0.4588,0.0,0.87,0.13,CNN,2020-05-18 01:31:06+00:00,"A bear with an apparent sweet tooth busted into a mountain cabin in Gatlinburg, Tennessee, and it brought its frien… https://t.co/G5N6dKe56H"
81,0.0,0.0,1.0,0.0,CNN,2020-05-18 01:15:04+00:00,The Las Vegas airport has installed new vending machines loaded with personal protective equipment https://t.co/W8dhnrWxU8
82,0.0,0.0,1.0,0.0,CNN,2020-05-18 01:00:12+00:00,A probing look into the stories behind the rise of the most infamous tabloid in American history. Witness the shock… https://t.co/1EfDsu97To
83,-0.7845,0.266,0.734,0.0,CNN,2020-05-18 00:45:07+00:00,"The Asian giant hornet is thought to kill 50 people a year worldwide, mostly due to allergic reactions or multiple… https://t.co/JZVyvdxOP0"
